,type,Block,Number,Paired,Pvalue,FDR,Enrich_median,Enrich_rank,g0_occurence,g1_occurence,median_all,g0_median,g1_median,g0_rank,g1_rank,Odds Ratio (95% CI)
116,PWY.4041...gamma..glutamyl.cycle,g0_vs_g1,g045_vs_g144,89,0.144949,0.447289756097561,No significance,No significance,0.8667,0.9091,0.0001251,9.94e-05,0.0001751,41.04,49.05,1 (1.1;0.96)
117,P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.14584,0.447289756097561,No significance,No significance,1,1,0.001525,0.001432,0.001816,41.04,49.05,1.1 (1.3;0.91)
118,PWY.5464..superpathway.of.cytosolic.glycolysis..plants...pyruvate.dehydrogenase.and.TCA.cycle,g0_vs_g1,g045_vs_g144,89,0.147595,0.447289756097561,No significance,No significance,0.6667,0.7727,0.0001078,8.696e-05,0.0001455,41.11,48.98,1.1 (1.1;0.95)
119,PWY0.42..2.methylcitrate.cycle.I,g0_vs_g1,g045_vs_g144,89,0.148195,0.447289756097561,No significance,No significance,0.3333,0.4773,0,0,0,41.51,48.57,1.1 (1.2;0.94)
120,PWY.6630..superpathway.of.L.tyrosine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.149323,0.447289756097561,No significance,No significance,0.8222,0.9091,0.0006201,0.0004707,0.0007008,41.09,49,1 (1.1;0.96)
121,GLYOXYLATE.BYPASS..glyoxylate.cycle,g0_vs_g1,g045_vs_g144,89,0.15177,0.447289756097561,No significance,No significance,0.8667,0.8864,0.0001728,0.0001708,0.0001818,41.11,48.98,1.1 (1.2;0.95)
122,POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli.,g0_vs_g1,g045_vs_g144,89,0.152535,0.447289756097561,No significance,No significance,0.8444,0.8409,0.0001082,7.537e-05,0.0001249,41.12,48.97,1 (1.1;0.96)
123,PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III,g0_vs_g1,g045_vs_g144,89,0.152824,0.447289756097561,No significance,No significance,1,1,0.004113,0.00417,0.003959,48.89,41.02,0.92 (0.75;1.1)
124,PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation,g0_vs_g1,g045_vs_g144,89,0.155207,0.450248823529412,No significance,No significance,1,1,0.00374,0.003875,0.003647,48.87,41.05,0.83 (0.47;1.2)
125,AST.PWY..L.arginine.degradation.II..AST.pathway.,g0_vs_g1,g045_vs_g144,89,0.156957,0.450248823529412,No significance,No significance,0.7333,0.8182,4.344e-05,3.213e-05,4.761e-05,41.18,48.91,1 (1.1;0.96)
126,GLYCOL.GLYOXDEG.PWY..superpathway.of.glycol.metabolism.and.degradation,g0_vs_g1,g045_vs_g144,89,0.157601,0.450248823529412,No significance,No significance,0.7778,0.8182,4.397e-05,3.047e-05,5.245e-05,41.18,48.91,1 (1.1;0.96)
127,PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.,g0_vs_g1,g045_vs_g144,89,0.160056,0.450248823529412,No significance,No significance,1,1,0.0007477,0.0007022,0.0008369,41.18,48.91,1.1 (1.2;0.94)
128,KETOGLUCONMET.PWY..ketogluconate.metabolism,g0_vs_g1,g045_vs_g144,89,0.162194,0.450248823529412,No significance,No significance,0.7556,0.8182,7.961e-05,7.368e-05,0.0001044,41.22,48.86,1 (1.1;0.97)
129,HEMESYN2.PWY..heme.biosynthesis.II..anaerobic.,g0_vs_g1,g045_vs_g144,89,0.165018,0.450248823529412,No significance,No significance,1,1,0.000406,0.0003673,0.000577,41.22,48.86,1.1 (1.2;0.93)
130,PWY.5667..CDP.diacylglycerol.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.165018,0.450248823529412,No significance,No significance,1,1,0.01399,0.01432,0.01368,48.78,41.14,0.76 (0.21;1.3)
131,PWY0.1319..CDP.diacylglycerol.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.165018,0.450248823529412,No significance,No significance,1,1,0.014,0.01432,0.01368,48.78,41.14,0.76 (0.21;1.3)
132,DAPLYSINESYN.PWY..L.lysine.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.167542,0.450248823529412,No significance,No significance,1,1,0.001926,0.001775,0.002037,41.24,48.84,1.1 (1.2;0.92)
133,P161.PWY..acetylene.degradation,g0_vs_g1,g045_vs_g144,89,0.167542,0.450248823529412,No significance,No significance,1,1,0.0004854,0.0003798,0.0005084,41.24,48.84,1.1 (1.3;0.91)
134,PWY.5747..2.methylcitrate.cycle.II,g0_vs_g1,g045_vs_g144,89,0.168917,0.450248823529412,No significance,No significance,0.3556,0.4773,0,0,0,41.66,48.42,1.1 (1.2;0.95)
135,PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic.,g0_vs_g1,g045_vs_g144,89,0.170094,0.450248823529412,No significance,No significance,1,1,0.002871,0.002591,0.003223,41.27,48.82,1.1 (1.4;0.88)
136,PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic.,g0_vs_g1,g045_vs_g144,89,0.170094,0.450248823529412,No significance,No significance,1,1,0.002871,0.002591,0.003223,41.27,48.82,1.1 (1.4;0.88)
137,PWY.5030..L.histidine.degradation.III,g0_vs_g1,g045_vs_g144,89,0.171822,0.451503065693431,No significance,No significance,0.9556,0.9545,0.000525,0.0004326,0.0007643,41.29,48.8,1 (1.1;0.96)
138,TCA..TCA.cycle.I..prokaryotic.,g0_vs_g1,g045_vs_g144,89,0.177924,0.464149565217391,No significance,No significance,0.9778,1,0.001651,0.001382,0.001833,41.33,48.75,1.1 (1.3;0.92)
139,GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation,g0_vs_g1,g045_vs_g144,89,0.183289,0.473114571428571,No significance,No significance,1,1,0.004374,0.00449,0.004282,48.62,41.3,0.87 (0.58;1.1)
140,PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation,g0_vs_g1,g045_vs_g144,89,0.183989,0.473114571428571,No significance,No significance,0.6889,0.7955,1.839e-05,1.209e-05,2.55e-05,41.42,48.66,1 (1.1;0.97)
141,PWY.7254..TCA.cycle.VII..acetate.producers.,g0_vs_g1,g045_vs_g144,89,0.18989,0.484825531914894,No significance,No significance,0.8444,0.8636,0.0001197,7.908e-05,0.0001623,41.44,48.64,1 (1.1;0.96)
142,HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.oxopent.4.enoate,g0_vs_g1,g045_vs_g144,89,0.194641,0.485769795918367,No significance,No significance,0.7778,0.8409,4.45e-05,3.654e-05,6.223e-05,41.49,48.59,1 (1.1;0.97)
143,PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.oxopent.4.enoate,g0_vs_g1,g045_vs_g144,89,0.194641,0.485769795918367,No significance,No significance,0.7778,0.8409,4.45e-05,3.654e-05,6.223e-05,41.49,48.59,1 (1.1;0.97)
144,PWY.5022..4.aminobutanoate.degradation.V,g0_vs_g1,g045_vs_g144,89,0.195779,0.485769795918367,No significance,No significance,0.8444,0.9091,0.0003083,0.000285,0.0003315,41.49,48.59,1 (1.1;0.97)
145,HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.,g0_vs_g1,g045_vs_g144,89,0.197219,0.485769795918367,No significance,No significance,1,1,0.001543,0.001659,0.001431,48.51,41.41,0.84 (0.49;1.2)
146,PANTO.PWY..phosphopantothenate.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.197219,0.485769795918367,No significance,No significance,1,1,0.01303,0.01363,0.01293,48.51,41.41,0.84 (0.5;1.2)
147,PWY.6113..superpathway.of.mycolate.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.198356,0.485769795918367,No significance,No significance,0.8,0.9091,0.0007893,0.0007261,0.0008298,41.51,48.57,1.1 (1.2;0.94)
148,PWY.7237..myo...chiro..and.scillo.inositol.degradation,g0_vs_g1,g045_vs_g144,89,0.205046,0.498760540540541,No significance,No significance,0.7778,0.6364,0.0003304,0.0005176,0.0002609,48.4,41.52,0.96 (0.89;1)
149,PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation,g0_vs_g1,g045_vs_g144,89,0.209189,0.502429090909091,No significance,No significance,0.7778,0.8409,7.002e-05,6.179e-05,0.0001018,41.6,48.48,1 (1.1;0.97)
150,PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.,g0_vs_g1,g045_vs_g144,89,0.2119,0.502429090909091,No significance,No significance,1,1,0.01505,0.0153,0.01415,48.4,41.52,0.88 (0.62;1.1)
151,ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,g0_vs_g1,g045_vs_g144,89,0.214928,0.502429090909091,No significance,No significance,1,1,0.01505,0.0153,0.01415,48.38,41.55,0.89 (0.66;1.1)
152,PWY.7199..pyrimidine.deoxyribonucleosides.salvage,g0_vs_g1,g045_vs_g144,89,0.214928,0.502429090909091,No significance,No significance,1,1,0.002929,0.002747,0.002994,41.62,48.45,1.1 (1.4;0.88)
153,PWY.7323..superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.214928,0.502429090909091,No significance,No significance,1,1,0.001758,0.001771,0.001699,48.38,41.55,0.94 (0.83;1.1)
154,VALSYN.PWY..L.valine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.214928,0.502429090909091,No significance,No significance,1,1,0.01505,0.0153,0.01415,48.38,41.55,0.89 (0.66;1.1)
155,PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage,g0_vs_g1,g045_vs_g144,89,0.217987,0.505343076923077,No significance,No significance,1,1,0.006067,0.006177,0.005648,48.36,41.57,0.84 (0.49;1.2)
156,PWY.7446..sulfoglycolysis,g0_vs_g1,g045_vs_g144,89,0.218982,0.505343076923077,No significance,No significance,0.7111,0.7727,4.007e-05,2.761e-05,5.149e-05,41.69,48.39,1 (1.1;0.96)
157,THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.222096,0.507547594936709,No significance,No significance,0.8222,0.8636,0.001263,0.001087,0.001441,41.69,48.39,1.1 (1.2;0.95)
158,GLUDEG.I.PWY..GABA.shunt,g0_vs_g1,g045_vs_g144,89,0.222757,0.507547594936709,No significance,No significance,0.8889,0.9091,0.0002827,0.0002827,0.00029,41.69,48.39,1 (1.1;0.97)
159,PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.,g0_vs_g1,g045_vs_g144,89,0.227675,0.510674534161491,No significance,No significance,0.3333,0.4318,0,0,0,42.13,47.93,1.1 (1.2;0.95)
160,PWY.5676..acetyl.CoA.fermentation.to.butanoate.II,g0_vs_g1,g045_vs_g144,89,0.227701,0.510674534161491,No significance,No significance,0.9778,0.9773,0.001299,0.001167,0.001389,41.72,48.35,1.1 (1.2;0.93)
161,PWY.6892..thiazole.biosynthesis.I..E..coli.,g0_vs_g1,g045_vs_g144,89,0.228385,0.510674534161491,No significance,No significance,0.8222,0.8636,0.0002772,0.0002349,0.0003135,41.73,48.34,1 (1.1;0.95)
162,PWY.5971..palmitate.biosynthesis.II..bacteria.and.plants.,g0_vs_g1,g045_vs_g144,89,0.234982,0.519956470588235,No significance,No significance,0.8,0.9091,0.0008109,0.0007984,0.000885,41.78,48.3,1.1 (1.2;0.95)
163,PWY.5505..L.glutamate.and.L.glutamine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.237844,0.519956470588235,No significance,No significance,0.8222,0.8409,0.000115,0.0001043,0.0001568,41.8,48.27,1 (1.1;0.97)
164,TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,g0_vs_g1,g045_vs_g144,89,0.238526,0.519956470588235,No significance,No significance,0.8667,0.8864,0.000214,0.0001518,0.0002163,41.8,48.27,1 (1.1;0.96)
165,PWY0.41..allantoin.degradation.IV..anaerobic.,g0_vs_g1,g045_vs_g144,89,0.238782,0.519956470588235,No significance,No significance,0.5556,0.6818,1.422e-05,7.902e-06,2.621e-05,41.89,48.18,1 (1.1;0.96)
166,PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP,g0_vs_g1,g045_vs_g144,89,0.242014,0.519956470588235,No significance,No significance,0.9556,0.8409,0.0005029,0.0005628,0.0004202,48.18,41.75,0.95 (0.86;1)
167,PWY.5005..biotin.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.242583,0.519956470588235,No significance,No significance,0.7556,0.7045,0.000291,0.0003615,0.0001018,48.14,41.78,0.97 (0.92;1)
168,PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.,g0_vs_g1,g045_vs_g144,89,0.243743,0.519956470588235,No significance,No significance,0.8889,0.9318,0.0002079,0.0001592,0.0002799,41.83,48.24,1 (1.1;0.97)
169,PWY.6823..molybdenum.cofactor.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.244257,0.519956470588235,No significance,No significance,0.6889,0.7727,4.89e-05,3.726e-05,5.009e-05,41.87,48.2,1 (1.1;0.97)
170,RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.,g0_vs_g1,g045_vs_g144,89,0.245535,0.519956470588235,No significance,No significance,0.9333,0.9545,0.001818,0.00167,0.002064,41.84,48.23,1 (1.1;0.97)
171,PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,g0_vs_g1,g045_vs_g144,89,0.251771,0.524807167630058,No significance,No significance,0.1333,0.2273,0,0,0,42.91,47.14,1.1 (1.3;0.91)
172,PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle.,g0_vs_g1,g045_vs_g144,89,0.251958,0.524807167630058,No significance,No significance,0.4667,0.5682,1.466e-05,0,1.92e-05,42.07,48,1 (1.1;0.96)
173,PWY.6628..superpathway.of.L.phenylalanine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.252199,0.524807167630058,No significance,No significance,0.9333,0.9091,0.0006359,0.0005919,0.0008547,41.89,48.18,1 (1.1;0.97)
174,PWY.7198..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.IV,g0_vs_g1,g045_vs_g144,89,0.255486,0.527098983050847,No significance,No significance,0.9556,0.8409,0.0003707,0.0004107,0.000305,48.09,41.84,0.96 (0.88;1)
175,KDO.NAGLIPASYN.PWY..superpathway.of..Kdo.2.lipid.A.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.257518,0.527098983050847,No significance,No significance,0.8,0.8182,4.983e-05,3.518e-05,5.64e-05,41.93,48.14,1 (1.1;0.96)
176,PWY.6895..superpathway.of.thiamin.diphosphate.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.257795,0.527098983050847,No significance,No significance,0.7778,0.8636,0.0007319,0.0007319,0.0009365,41.93,48.14,1 (1.1;0.96)
177,PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol.,g0_vs_g1,g045_vs_g144,89,0.259157,0.527098983050847,No significance,No significance,0.9556,0.9545,0.00044,0.0003993,0.0005136,41.93,48.14,1 (1.1;0.98)
178,PWY0.1338..polymyxin.resistance,g0_vs_g1,g045_vs_g144,89,0.26384,0.533608988764045,No significance,No significance,0.7556,0.8182,3.852e-05,3.513e-05,4.016e-05,41.98,48.09,1 (1.1;0.96)
179,PWY.5918..superpathay.of.heme.biosynthesis.from.glutamate,g0_vs_g1,g045_vs_g144,89,0.266056,0.53508469273743,No significance,No significance,0.8889,0.9545,0.0002426,0.0002628,0.0002411,41.98,48.09,1.1 (1.2;0.95)
180,PWY.6891..thiazole.biosynthesis.II..Bacillus.,g0_vs_g1,g045_vs_g144,89,0.268325,0.53528817679558,No significance,No significance,0.7778,0.8636,0.0001535,0.0001535,0.0001993,42,48.07,1 (1.1;0.97)
181,GLUCARDEG.PWY..D.glucarate.degradation.I,g0_vs_g1,g045_vs_g144,89,0.269131,0.53528817679558,No significance,No significance,0.8667,0.8636,7.48e-05,6.666e-05,7.524e-05,42,48.07,1 (1.1;0.97)
182,PWY.5692..allantoin.degradation.to.glyoxylate.II,g0_vs_g1,g045_vs_g144,89,0.27463,0.53759152173913,No significance,No significance,0.5778,0.7045,1.738e-05,7.756e-06,2.134e-05,42.1,47.97,1 (1.1;0.96)
183,URDEGR.PWY..superpathway.of.allantoin.degradation.in.plants,g0_vs_g1,g045_vs_g144,89,0.27463,0.53759152173913,No significance,No significance,0.5778,0.7045,1.738e-05,7.756e-06,2.134e-05,42.1,47.97,1 (1.1;0.96)
184,PWY.6124..inosine.5.phosphate.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.274769,0.53759152173913,No significance,No significance,1,1,0.005186,0.005186,0.005263,47.98,41.95,0.82 (0.43;1.2)
185,PWY66.389..phytol.degradation,g0_vs_g1,g045_vs_g144,89,0.28266,0.550041081081081,No significance,No significance,0.0667,0.1364,0,0,0,43.47,46.57,1.1 (1.3;0.91)
186,PWY.7663..gondoate.biosynthesis..anaerobic.,g0_vs_g1,g045_vs_g144,89,0.285743,0.551100320855615,No significance,No significance,1,1,0.009218,0.01015,0.009029,47.91,42.02,0.75 (0.2;1.3)
187,PWY.7209..superpathway.of.pyrimidine.ribonucleosides.degradation,g0_vs_g1,g045_vs_g144,89,0.286266,0.551100320855615,No significance,No significance,0.7556,0.6818,5.59e-05,6.199e-05,3.594e-05,47.87,42.07,0.96 (0.89;1)
188,GALACTARDEG.PWY..D.galactarate.degradation.I,g0_vs_g1,g045_vs_g144,89,0.294684,0.554886839378238,No significance,No significance,0.8444,0.8636,5.023e-05,5.638e-05,4.829e-05,42.16,47.91,1 (1.1;0.96)
189,GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation,g0_vs_g1,g045_vs_g144,89,0.294684,0.554886839378238,No significance,No significance,0.8444,0.8636,5.023e-05,5.638e-05,4.829e-05,42.16,47.91,1 (1.1;0.96)
190,GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass,g0_vs_g1,g045_vs_g144,89,0.29498,0.554886839378238,No significance,No significance,0.8667,0.8864,0.0003504,0.0002913,0.0003572,42.16,47.91,1 (1.1;0.96)
191,PWY.7269..NAD.NADP.NADH.NADPH.mitochondrial.interconversion..yeast.,g0_vs_g1,g045_vs_g144,89,0.296049,0.554886839378238,No significance,No significance,0.7556,0.7727,9.515e-05,8.365e-05,0.0001015,42.18,47.89,1 (1.1;0.97)
192,PWY.5675..nitrate.reduction.V..assimilatory.,g0_vs_g1,g045_vs_g144,89,0.29695,0.554886839378238,No significance,No significance,0.0667,0.1364,0,0,0,43.51,46.52,1.1 (1.2;0.95)
193,PWY.7392..taxadiene.biosynthesis..engineered.,g0_vs_g1,g045_vs_g144,89,0.297481,0.554886839378238,No significance,No significance,0.7556,0.75,0.0001786,9.738e-05,0.0002304,42.19,47.88,1 (1.1;0.97)
194,PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation,g0_vs_g1,g045_vs_g144,89,0.300825,0.558231958762887,No significance,No significance,1,1,0.0009957,0.0009637,0.001021,42.18,47.89,1.1 (1.3;0.92)
195,PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,g0_vs_g1,g045_vs_g144,89,0.310093,0.571334545454545,No significance,No significance,0.8444,0.8636,0.0002019,0.0001464,0.0002168,42.24,47.82,1 (1.1;0.97)
196,PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.,g0_vs_g1,g045_vs_g144,89,0.312467,0.571334545454545,No significance,No significance,0.8889,0.8864,0.0003063,0.000273,0.0003199,42.26,47.81,1 (1.1;0.97)
197,ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation,g0_vs_g1,g045_vs_g144,89,0.314234,0.571334545454545,No significance,No significance,0.6222,0.7273,4.375e-05,4.279e-05,5.213e-05,42.31,47.75,1 (1.1;0.97)
198,ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation,g0_vs_g1,g045_vs_g144,89,0.314234,0.571334545454545,No significance,No significance,0.6222,0.7273,4.375e-05,4.279e-05,5.213e-05,42.31,47.75,1 (1.1;0.97)
199,P441.PWY..superpathway.of.N.acetylneuraminate.degradation,g0_vs_g1,g045_vs_g144,89,0.320404,0.579625326633166,No significance,No significance,1,1,0.001077,0.001028,0.00113,42.29,47.77,1.1 (1.3;0.91)
200,PWY.6435..4.hydroxybenzoate.biosynthesis.V,g0_vs_g1,g045_vs_g144,89,0.322989,0.5813802,No significance,No significance,0.1778,0.0909,0,0,0,46.6,43.36,0.98 (0.95;1)
201,PWY.6608..guanosine.nucleotides.degradation.III,g0_vs_g1,g045_vs_g144,89,0.336647,0.602949850746269,No significance,No significance,1,1,0.001215,0.0009627,0.001278,42.38,47.68,1.1 (1.2;0.95)
202,PWY.7409..phospholipid.remodeling..phosphatidylethanolamine..yeast.,g0_vs_g1,g045_vs_g144,89,0.338395,0.603080198019802,No significance,No significance,0.7556,0.7955,5.701e-05,4.495e-05,5.929e-05,42.41,47.65,1 (1.1;0.98)
203,PWY.6936..seleno.amino.acid.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.340788,0.604353103448276,No significance,No significance,1,1,0.001025,0.0008703,0.001239,42.4,47.66,1.1 (1.2;0.95)
204,FAO.PWY..fatty.acid..beta..oxidation.I,g0_vs_g1,g045_vs_g144,89,0.351536,0.620357647058824,No significance,No significance,0.9111,0.9318,0.0002903,0.0002313,0.0003044,42.47,47.59,1 (1.1;0.97)
205,GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation,g0_vs_g1,g045_vs_g144,89,0.360131,0.62952347826087,No significance,No significance,0.9111,0.9545,0.000255,0.0002175,0.0002835,42.51,47.55,1 (1.1;0.98)
206,PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.361976,0.62952347826087,No significance,No significance,1,1,0.004145,0.004458,0.00371,47.49,42.45,0.89 (0.66;1.1)
207,PWY.6123..inosine.5.phosphate.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.361976,0.62952347826087,No significance,No significance,1,1,0.0061,0.006479,0.006083,47.49,42.45,0.8 (0.38;1.2)
208,ORNDEG.PWY..superpathway.of.ornithine.degradation,g0_vs_g1,g045_vs_g144,89,0.364853,0.629896901408451,No significance,No significance,0.6222,0.7273,6.022e-05,5.866e-05,6.913e-05,42.58,47.48,1 (1.1;0.97)
209,PWY.4984..urea.cycle,g0_vs_g1,g045_vs_g144,89,0.368881,0.629896901408451,No significance,No significance,1,0.9545,0.0007893,0.0008189,0.0007482,47.44,42.5,0.95 (0.86;1)
210,PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.,g0_vs_g1,g045_vs_g144,89,0.370675,0.629896901408451,No significance,No significance,1,1,0.003599,0.003599,0.003653,42.56,47.5,1.1 (1.2;0.93)
211,PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.,g0_vs_g1,g045_vs_g144,89,0.371597,0.629896901408451,No significance,No significance,0.1333,0.2045,0,0,0,43.41,46.62,1.1 (1.3;0.92)
212,PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate,g0_vs_g1,g045_vs_g144,89,0.371597,0.629896901408451,No significance,No significance,0.1333,0.2045,0,0,0,43.41,46.62,1.1 (1.3;0.92)
213,PWY.7204..pyridoxal.5.phosphate.salvage.II..plants.,g0_vs_g1,g045_vs_g144,89,0.372689,0.629896901408451,No significance,No significance,0.8667,0.8636,0.0002957,0.0002691,0.00032,42.58,47.48,1 (1.1;0.98)
214,PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.,g0_vs_g1,g045_vs_g144,89,0.377652,0.632347534883721,No significance,No significance,0.9556,0.9318,0.0001635,0.0001547,0.0002137,42.6,47.45,1 (1;0.98)
215,PWY.7328..superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.377652,0.632347534883721,No significance,No significance,0.9333,0.9545,0.000222,0.0002024,0.0002288,42.6,47.45,1 (1.1;0.96)
216,GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.Entner.Doudoroff,g0_vs_g1,g045_vs_g144,89,0.379501,0.632501666666667,No significance,No significance,1,1,0.0009867,0.0009086,0.001081,42.6,47.45,1 (1.1;0.96)
217,PWY.2941..L.lysine.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.383962,0.636987649769585,No significance,No significance,1,1,0.001472,0.0013,0.001541,42.62,47.43,1.1 (1.2;0.94)
218,PWY.6165..chorismate.biosynthesis.II..archaea.,g0_vs_g1,g045_vs_g144,89,0.389134,0.642606605504587,No significance,No significance,0.0889,0.1591,0,0,0,43.66,46.38,1 (1;1)
219,PWY.6629..superpathway.of.L.tryptophan.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.391587,0.643054909090909,No significance,No significance,0.7111,0.7727,0.0002573,0.0002216,0.0003592,42.69,47.36,1 (1.1;0.97)
220,CITRULBIO.PWY..L.citrulline.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.392978,0.643054909090909,No significance,No significance,1,0.9773,0.0009339,0.000939,0.0008794,47.33,42.61,0.96 (0.87;1)
221,PWY.5656..mannosylglycerate.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.396015,0.644648108108108,No significance,No significance,0.5778,0.7045,2.025e-05,1.131e-05,2.196e-05,42.74,47.31,1 (1.1;0.98)
222,PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.397533,0.644648108108108,No significance,No significance,1,1,0.001681,0.001628,0.001758,42.69,47.36,1.1 (1.2;0.94)
223,LPSSYN.PWY..superpathway.of.lipopolysaccharide.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.401478,0.6460288,No significance,No significance,0.5556,0.6136,1.981e-05,1.408e-05,3.356e-05,42.8,47.25,1 (1.1;0.96)
224,PWY.5705..allantoin.degradation.to.glyoxylate.III,g0_vs_g1,g045_vs_g144,89,0.402598,0.6460288,No significance,No significance,0.7778,0.7955,4.941e-05,4.659e-05,5.801e-05,42.73,47.32,1 (1.1;0.97)
225,PWY.7315..dTDP.N.acetylthomosamine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.403768,0.6460288,No significance,No significance,0.8444,0.8182,0.0001269,0.0001008,0.0001281,42.73,47.32,1 (1.1;0.97)
226,THRESYN.PWY..superpathway.of.L.threonine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.406738,0.647901238938053,No significance,No significance,1,1,0.006008,0.006149,0.005515,47.27,42.68,0.89 (0.67;1.1)
227,PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.,g0_vs_g1,g045_vs_g144,89,0.411387,0.648416103896104,No significance,No significance,1,1,0.0009904,0.0009196,0.00104,42.76,47.3,1 (1.1;0.96)
228,PWY.7371..1.4.dihydroxy.6.naphthoate.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.41155,0.648416103896104,No significance,No significance,0.7778,0.7727,0.0002758,0.0004039,0.0001529,47.22,42.73,0.98 (0.93;1)
229,X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation,g0_vs_g1,g045_vs_g144,89,0.414277,0.648416103896104,No significance,No significance,0.4889,0.5909,6.332e-06,0,9.597e-06,42.89,47.16,1 (1;0.99)
230,PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.416067,0.648416103896104,No significance,No significance,1,1,0.009616,0.009227,0.009857,42.78,47.27,1.1 (1.4;0.88)
