# Pathway	E0000355_Abundance	E0000361_Abundance	E0000362_Abundance	E0000369_Abundance	E0000376_Abundance	E0000378_Abundance	E0000382_Abundance	E0000393_Abundance	E0000404_Abundance	E0000410_Abundance	E0000416_Abundance	E0000418_Abundance	E0000419_Abundance	E0000420_Abundance	E0000426_Abundance	E0000428_Abundance	E0000432_Abundance	E0000433_Abundance	E0000435_Abundance	E0000442_Abundance	E0000466_Abundance	E0000467_Abundance	E0000471_Abundance	E0000478_Abundance	E0000480_Abundance	E0000482_Abundance	E0000488_Abundance	E0000490_Abundance	E0000495_Abundance	E0000498_Abundance	E0000501_Abundance	E0000502_Abundance	E0000516_Abundance	E0000520_Abundance	E0000521_Abundance	E0000522_Abundance	E0000527_Abundance	E0000531_Abundance	E0000537_Abundance	E0000539_Abundance	E0000540_Abundance	E0001336_Abundance	E0001340_Abundance	E0001346_Abundance	PV101516_Abundance	PV101570_Abundance	PV101581_Abundance	PV101643_Abundance	PV101656_Abundance	PV101894_Abundance	PV101895_Abundance	PV101929_Abundance	PV101945_Abundance	PV101948_Abundance	PV101962_Abundance	PV102349_Abundance	PV102418_Abundance	PV102462_Abundance	PV102474_Abundance	PV102574_Abundance	PV102580_Abundance	PV19497_Abundance	PV19551_Abundance	PV19565_Abundance	PV19588_Abundance	PV19658_Abundance	PV19708_Abundance	PV19755_Abundance	PV19834_Abundance	PV19855_Abundance	PV19856_Abundance	PV19882_Abundance	PV19936_Abundance	PV19942_Abundance	PV19991_Abundance	PV20005_Abundance	PV20541_Abundance	PV20544_Abundance	PV20615_Abundance	PV21638_Abundance	PV21671_Abundance	PV21690_Abundance	PV21772_Abundance	PV21813_Abundance	PV21876_Abundance	PV23791_Abundance	PV23961_Abundance	PV24015_Abundance	PV49580_Abundance
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	84.1846516054	554.7914610075	472.2410109603	34.5784263840	220.7950678290	310.9054155127	253.8748686614	2.0852827997	163.5691537240	0	174.3713420514	279.0552499420	423.2563380761	136.9436673586	5.2720310096	113.9639521941	306.7893725040	849.7009535246	91.7633895407	191.9301305284	186.5062177129	149.4707413246	96.3782181263	247.6867058228	184.3785653128	202.9787049292	7.8534847686	37.4101780321	58.1052365946	25.4890339963	409.4587239210	138.8788633915	546.8533623010	506.4846701826	177.1205435968	241.4306369415	58.3621395971	192.5118617973	25.0633893215	112.8150390525	652.9707586177	122.3373415986	95.5925324462	63.5616020758	122.7871285087	6.9299903821	48.6295506628	9.7791255755	31.2075652718	70.6191764890	35.6512191171	58.8868723241	18.0301475887	38.4689471735	46.3849958923	329.2526661337	55.6793533207	501.4456835243	19.8215428218	16.8876947850	240.5977160862	15.1081343612	70.1871233619	0	77.0032598711	10.5922239757	15.1446769652	87.4449417808	118.8120531819	138.1894288884	816.8223279773	249.8792279348	377.1252795740	242.7425976947	58.1823145812	140.1070893210	22.8447713737	132.1652555538	87.8342192663	286.4342763948	161.4324556038	33.0271922457	39.3201199718	0	245.8960451017	108.9749987560	14.9327977394	54.1527913078	200.2277742529
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	552.1770833247	816.3850948501	875.2207620509	154.6812875356	435.2847017358	745.9672702724	705.4523653841	30.0323757029	268.1858604057	99.3741607451	206.7627201283	602.6245376968	975.1360020183	141.8403478801	283.5655578578	136.3824299863	308.0286616082	941.5746292523	136.2275807526	662.5303627400	297.4356158710	159.8188898012	432.0351837230	385.2950885627	246.9023600603	264.0951859309	320.3481448533	42.5039436561	68.4598032205	113.8389519114	615.0709943223	167.2005572803	582.7421910373	2213.0879949098	337.4580225913	478.6375817988	76.0140047161	407.0863094748	42.0608366236	391.6501758903	1741.7335671140	167.1923714636	115.4230110906	115.1091345505	128.1172375772	27.8029796945	48.9123935064	75.1174788750	217.0920909206	88.9635384368	62.9578763265	62.1988317958	18.4528819915	622.0282841973	504.2342927109	418.8589975186	123.7212742621	973.9287713395	34.0540630964	73.8005878268	306.5670972594	17.0488343455	71.8920108162	38.2413505779	713.2838225882	10.6072439173	84.8682041640	141.7796384902	702.2302799252	139.8733801153	1125.5331593602	1132.0099663592	419.1786202131	892.6117092459	60.0287402800	144.9778002389	61.4624702908	136.7281135647	95.0977830311	2091.6168041629	291.1244046144	452.0795276863	112.8491754559	164.5264384600	1409.9756549361	642.1802330608	461.9460997489	57.5477639696	1379.5282307683
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	627.8660475060	1835.2685074874	1955.3899903763	426.2932071636	656.1672251885	1401.2940955729	1035.7079394912	587.1392337133	840.6766701682	442.4424588158	641.7450745880	890.3011731634	2585.7413111163	2068.5784328305	703.4841400161	334.7872536979	410.0965634373	2572.0151451827	820.4977665081	1031.3009949365	947.9475626248	1008.6237347977	828.3209107427	1177.4766051435	896.8956864263	1023.6735862180	1464.6485484727	584.1134784093	1171.3059304006	174.1461083906	1283.7176585692	606.0618603926	1345.5192949444	2785.3113303159	892.6531295242	833.9660301353	388.1545609726	740.6636550707	121.5719806721	712.7037124864	1799.7809407690	574.4457945259	995.7283917634	291.7462644459	962.7322738350	617.1949061282	999.9978232348	218.6060489610	1229.9020931165	312.3482087568	1397.8995029732	1337.6474570599	732.1136053452	444.8725946934	331.4160786471	1674.8098687203	1155.7647910973	1327.3398734463	1848.7195346946	408.6617132476	1719.0158854941	372.6662444220	596.2214641202	282.6274898192	418.1410846201	881.0037845604	576.1721743147	747.5350377173	1313.2044485825	1148.3479137147	2503.1020243630	2145.9551104872	367.8974171366	896.0829017630	475.6421717579	1549.5358879676	224.6467078623	2165.5372268324	519.4644356383	2609.6877280866	304.6784235256	185.1409639706	755.0635616737	853.0607061861	2024.8964730878	287.0180873366	507.5683382252	1280.4805062516	2735.5595136949
HISDEG-PWY: L-histidine degradation I	63.3196905111	856.6263526606	158.4522776552	178.0266458588	76.2292765643	305.5693197084	442.9377954478	18.4487344043	180.7229229485	1.0266001710	1107.9546992772	395.2836217795	308.0495888877	13.3450387837	267.0973791446	32.4122801000	3.8951337845	1856.6821720443	48.0939214513	137.2671732631	266.0280588740	208.8247901175	104.4354247252	244.5768163902	431.2878287923	160.5252971780	17.2941310333	165.8079031120	196.3763172961	315.3012640682	951.3587454152	265.4686677764	746.2999520703	303.8898696762	0	132.7610351379	479.7464008496	181.5830035477	46.0999285041	348.4019623019	296.6842087699	499.5562272409	99.6247018706	23.6740715106	252.2912524836	87.9431652989	650.1594467739	27.8156900153	24.4361829402	101.4767765403	182.4339322690	469.5874539215	36.0245908507	184.0323813039	70.5119486729	932.9894807804	39.0904526241	97.8166148379	14.1956891030	118.8992764373	108.3775085025	188.1562544803	197.8588041255	186.1383322569	108.7455685682	247.1016141616	4.2260690708	244.4080941042	331.1283003730	238.9464478246	226.4961448072	652.0322235816	18.9159272644	82.7455108429	779.6643239415	553.8719347841	42.0551024413	122.3960459998	8.6966968662	40.7378917595	88.0959566175	512.0234508921	160.6427460239	74.6028184334	141.6532330128	56.6931684419	222.7569428537	197.4776637760	21.1063494915
HISTSYN-PWY: L-histidine biosynthesis	2036.7727908982	1706.4252524190	2284.5898993826	2079.4483774954	1676.9136874530	2658.4129242884	1756.1328134340	5342.3957509702	1129.8187546390	1655.2020644231	2784.4445396513	2489.8867312033	2649.4956210355	3246.4742370752	1873.5267995685	933.3086718329	500.7867721552	2716.5552676956	2163.5287661698	2092.4173832345	3017.2603092770	1306.5755652332	2437.2706988053	2537.1958921982	1826.1006660815	1265.6438553359	3739.7627234031	847.0941644112	1792.0286816135	1213.0713108612	1312.9832793813	1427.0149412067	1691.0401908672	1940.7399239347	1029.0732846532	1993.2762625630	1968.6471796923	2367.9860115195	527.1127123828	2364.5608384888	2963.0881321639	1319.6359501077	1668.8446583330	1173.3384515057	1936.9273042429	733.1167339157	1433.2302026862	633.0516017198	2719.3850450155	878.5825548975	3094.0144804428	1478.2907174038	1981.5610633873	1441.1296541305	934.3674375439	2172.9747814262	1116.5482507860	1276.6786788604	2117.4951954412	1471.8553632450	1877.3271132860	713.5006546095	1408.5919803708	805.2916393911	538.9102383841	1823.5894344370	1215.9103834963	2031.9304116324	1403.9506303808	1738.4234770410	2383.3453232238	2131.3890953889	1860.9759285427	1547.5180667797	1758.1386986429	2100.3932406655	383.2463732556	1592.1581658734	1119.6546309094	2578.5997433100	1207.1002811700	2161.5248569572	1514.9150672226	1148.2450554754	2287.1491515515	2031.9722348642	2023.3610639546	1639.9305200841	2087.6372855299
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	1304.0585197765	1329.1525617891	1569.5619537781	1170.6631826330	316.7566918062	1814.5092862350	1549.4482526249	715.8355926496	532.1317137665	1026.7295999764	1687.6632427704	1121.1004862927	1896.3096181044	1889.5674032728	513.9965730575	247.9151194404	128.1855962945	2482.4077205583	1590.9693081506	532.4824880790	2862.2039370237	770.2723361054	1627.3795261435	1523.9126823493	1422.3766359083	786.1093561529	585.9976393626	418.6070025090	764.8211070361	699.0758408185	491.2276683213	346.3765515422	674.6021547051	1297.1200752104	1174.2658684940	431.7866656782	1167.8849810771	1588.9451889477	349.9154530847	757.9212503112	1259.8556623952	701.9406772410	1113.7096201407	284.2131204148	978.8535625941	551.5035694255	405.1895678563	337.2238658295	1662.2406418497	184.7363173468	1495.4524133748	1140.4924123897	400.2721464683	866.4595055343	128.7646797063	1880.5683255473	624.4870299961	923.5607261867	1600.1530670400	863.7921138449	1962.4124739184	208.6914174642	613.8550056168	595.0483941155	879.9641030033	251.2659893232	258.5627962044	671.9320035458	889.7263271531	528.1452474657	1615.7151598220	1677.1358098488	754.4200556980	1107.5722150780	917.7616978515	1363.3841720659	375.9754546412	1254.7492614705	556.5361533133	1381.5753280952	678.5049041811	17.8106779064	739.4477593519	97.5246454342	1939.6467730839	1054.2385836498	1504.0744246238	183.2156913760	1790.3999457216
HSERMETANA-PWY: L-methionine biosynthesis III	1297.7872784194	1561.5049219124	832.9915957676	1075.6965137972	1135.3135188284	431.2091236340	2138.5405794014	343.2728245453	497.7933489280	572.4792643334	739.5292286373	1054.8744035723	1199.9671094168	372.6628452504	1732.5230462957	386.4509142395	45.7824455674	1416.1923028661	721.8027041842	526.9290755910	1050.4719355102	1255.3074684845	1272.8033652146	1112.6740165098	1779.0012667567	980.1999445268	1702.2357953437	855.5027349853	416.2858313141	611.5953759662	376.2212427275	912.6868764360	242.7186173337	596.7568078440	295.2705439257	423.3075044714	436.3861636176	359.8490903244	519.7639907750	707.4319520916	676.2774501758	662.1634610278	952.6208905219	222.4560326025	1650.6843399090	613.4527919750	1340.9037534349	290.5787700833	1195.8729920935	714.0592075921	1457.9513147912	822.7561423617	1842.9711427496	974.3224065214	78.9634443257	1720.2351675189	575.9692204987	651.7115510183	1546.5939348634	800.5124798336	1718.4824181053	128.1165874563	791.9451538757	938.6671810325	699.0221919606	1828.4924452452	1336.4308004606	609.7871595679	544.0761173773	1262.1040785669	1216.3848825491	1882.9990542730	598.9458456261	1789.4012808863	1554.6236001259	3078.5457329619	282.3221609506	187.3434408028	396.2506652996	711.3560123397	652.6847641424	6.3282014292	723.0203277057	979.0217796608	980.4546924121	515.0468595870	1512.6541607559	128.4844920031	841.5800058119
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	10842.5270023671	8658.5921553029	7912.8792920488	8009.8420143752	8661.9657854422	11517.5760901992	6652.4375832041	4542.6058194782	9268.3217042971	9318.2890102916	8680.2160083402	8645.9813027106	8033.4102255695	9374.2507728614	11033.0411516226	6760.0498496482	2090.4392612354	7465.3492339757	7428.7412836445	7323.7845957946	9320.5819686408	5655.0254968344	10853.7419530800	5205.9436405838	9002.1886247911	6840.2309871027	12706.5779463776	7233.1355581579	9239.7798954506	3209.0991588727	6170.0963069612	8506.3391572068	9459.9131349422	7007.3108354287	9401.0167644618	10716.1579517285	5514.4379877873	8668.8598642351	5232.1177727726	8625.6205739746	6348.7760034338	7103.9509816909	9077.0404601926	4856.3564855435	7342.1691031654	6844.9424101310	9582.6141310780	2695.4634237330	9247.4130790277	4959.2484255364	7699.1884552751	7644.7014000858	9093.3412147072	5154.3840990143	3269.4815246811	5941.4570698671	8272.9523767387	6028.1803548305	6399.2236884871	3837.1123963604	8724.4415816445	5983.5409807255	9485.5689451423	3889.7839841215	7004.1328982692	8143.2318158289	4867.7004762882	8298.5034036115	5276.6674039404	9128.7951935817	8002.9935475517	5216.4947543766	9127.9251980266	9925.2854251659	4846.9746844276	10901.9299276047	2311.2090988484	9008.0087069253	10780.9711143608	5829.1492738581	4628.6407286488	8389.3763382403	8175.0438445488	10244.9692892566	6009.6411138818	8226.4347927391	6632.2370451958	9346.8458757609	7800.9224115574
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	3.4384610662	13.9113708501	223.7749016289	0	0	203.4180445956	3.5052139209	13.2311248638	81.3197295395	0	37.5194809289	25.2019266078	105.4695805797	3.4416574122	0	49.0159024024	66.7900320745	412.3294326588	66.6972374127	75.0669099172	67.6993420879	1.7594999071	11.3807453024	132.0135095815	63.4645349328	121.9543798373	11.6161023744	4.7388008000	4.9952521170	24.1298002624	175.0751764096	11.9685229405	200.2453242752	1207.8832900187	30.5286132408	38.9880166863	8.0481490627	62.4500307806	0	62.1621888369	333.8994346711	21.5511876006	25.7822195827	25.1243737619	8.0869577361	0	11.3368359830	29.9175818617	35.6042558397	0	16.6203937290	18.5887675561	1.6648720685	14.5774282215	2.8280423452	87.9027061979	1.6395262077	313.8311617094	12.0092293755	49.7877185625	63.2826235821	0	23.2316059470	0	0	0	9.0020587063	89.0268020518	408.1858212615	46.6128056688	659.7597719581	504.7386393326	0	136.9766605185	0	42.5023248238	49.6377922910	13.2456555414	0	1512.6643707728	27.4039832607	25.3661542257	0	0	778.9864108699	31.3912241219	4.8190833928	0	1261.7855848518
KETOGLUCONMET-PWY: ketogluconate metabolism	11.9155141393	0	101.5992560963	0	0	376.3485437813	6.4827489770	18.7503626856	145.3384595838	0	120.6727545030	42.8123795810	139.8638865578	24.6561031181	5.7918303073	17.5176897646	30.8396967604	502.0470896275	45.3790957229	50.4418859824	65.1113131924	0	37.4698104821	417.4933804148	157.3195322248	99.0024806202	35.6898622873	42.7043169345	2.9018827636	32.8158864738	161.6153080133	79.3021137180	71.1043760701	845.8069222823	37.1390108785	61.3383812247	53.9336417469	154.9803393791	0	20.1299292454	262.2716526754	81.6828628016	55.4169937749	16.8378022613	28.7538750375	8.6779128194	50.5682143160	15.9850908428	37.0534419712	23.8333856791	80.3737557450	50.9189270055	0	61.6430535989	0	164.1904290495	2.9835586872	117.8131683051	0	3.2152975285	45.5689819267	0	66.5383427896	0	0	0	22.5227331129	79.3940156593	331.1559831975	68.6538581884	51.6828141879	793.1031409334	0	187.0493207476	0	87.0245419431	29.3045433971	8.0889283090	0	952.3758375312	42.0391832661	22.4959039346	0	0	1457.1315577073	15.1603048113	58.2870700474	0	742.1885807916
LACTOSECAT-PWY: lactose and galactose degradation I	116.6611300884	16.2750371298	298.1940925376	13.9856816276	42.9246098904	57.7170736007	283.9935939653	48.6879510480	68.2277505500	68.8864255357	644.4573041987	256.1637132308	343.0557755479	20.9131461292	39.6173273447	97.0448591060	0	1007.5681653089	0	144.3966778877	291.6892935042	43.7959175059	4.0711431132	28.4181763586	0	212.3780206223	48.9879448743	0	8.1202193365	300.3144903528	77.2210740518	7.7979576085	49.7590061671	47.2802330202	41.0987732851	25.1923643395	310.3311489091	59.2824059946	0	0	342.2224987901	12.1595876719	19.3448619271	0	335.1748708079	166.1235016928	0	94.5710039547	80.7275239514	29.0485210012	213.3452009557	17.8860896598	0	12.1030061123	3.2083174168	335.0442607558	12.3374631591	45.0435760300	6.6303405465	238.6871347594	481.0900599408	51.1189305030	0	146.7589345004	98.9530483349	0	0	84.6009348889	242.3567762400	8.1183425581	145.4132241373	0	39.9069231332	0	26.8325292382	4.0778212879	172.7247529425	106.6792658773	0	59.9168341169	144.3373757140	0	23.3046747053	10.7421403544	129.8872640671	0	61.2327507428	23.3846601054	0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0	0	44.4688605424	0	0	303.5263211804	0	17.9905675306	57.6297353816	0	17.9607131498	10.8978316394	0	8.2697760844	0	67.6207190435	29.2093838574	123.6020623183	55.8922864944	127.3260010798	0	5.1744513284	26.5003455440	130.7812326630	94.5920263467	134.6934191978	12.3808754276	0	7.1807977322	0	148.6710859576	21.9063115738	324.4891637572	1771.4870651015	12.4486377861	69.1625878830	0	91.2884007970	0	83.4394232243	316.4674320886	34.6764161514	7.4085037461	16.4014799414	0	0	17.6383457744	22.5466827279	48.1789581628	0	25.3218587136	20.6355670792	0	25.1536056698	4.5841336776	141.4404540479	0	513.8988646011	0	23.2895707046	27.5859134663	0	32.8105075907	0	0	0	13.4059884136	0	0	0	0	0	0	0	0	56.2742078552	7.8717044721	0	0	2052.7366571712	30.9672557732	24.8008750176	0	0	0	52.7503223497	7.3430411034	0	18.4864993030
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	1919.4570904044	2046.8207500847	2437.0176198414	1819.8945363603	494.8260485610	2839.8978402249	2352.8837930093	1174.4406011884	978.5124307987	1733.0991898908	2958.4693528462	1812.9801180751	2811.8761193861	2791.2618521851	797.5274764956	382.4606886279	288.0120284517	3789.4146416586	2368.8696758306	846.0039677771	3985.3698712293	1268.0645985519	2557.7952887869	2678.8371414131	2280.6530564673	1290.4756632300	892.1523291918	685.4845838801	1196.3594954759	1177.1728852690	1059.9778586942	557.8994753118	1177.4535772272	2356.2778099340	1902.1567822906	684.1110477612	2080.9683679506	2589.5892181167	542.4767031716	1474.3829857691	2135.4199912292	1186.6970573054	1777.7550933763	491.1835464982	1538.3701555671	1001.2444781910	656.9714028407	603.1470642346	2829.0601475125	292.7329342653	2405.2957300668	1735.0316971225	634.9280122272	1441.2142086492	206.1981541796	2457.1735711557	994.6064562276	1749.5023523514	2410.5039492422	1600.8689689470	2877.6876030183	317.6174227224	982.1326787343	982.8910814767	1487.6086000380	390.0719269038	405.5640446562	1092.4245653079	1656.9141622678	844.5830039648	2558.0978576170	2513.3035330492	1285.5520716104	1844.0518216320	1463.1958120766	2061.5323039304	745.0335354959	1847.9763852679	994.0076151482	2160.7018562569	1139.1600476873	41.1763561012	1235.6467714364	151.2569553490	2936.3016752040	1712.9872920934	2311.2182821833	286.3965182221	2948.3809402558
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0	0	0	11.7206420839	0	0	100.9072626487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6547684320	0	0	0	0	0	0	0	0	0	55.0951384852	0	0	543.3650717079	0	0	32.2783825978	0	238.9909955157	0	0	0	59.7901288690	0	0	0	0	0	0	0	0	16.5298055258	0	0	0	0	7.0364636557	0	0	0	0	0	0	0	0	0	0	115.7311109911	0	83.0347525895	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	3.5148019260	0	235.2659068894	0	0	167.8944563975	12.5587547015	13.8442935153	31.9539096135	0	13.1302835267	7.1464809832	57.5949726238	3.1880995426	0	15.3280960914	40.1219923783	88.3240663716	47.0473720320	30.0900459496	49.3910033768	5.0949451309	11.8456740350	132.6059813902	49.3734924252	81.0141789457	2.7457069629	2.3392357423	4.8503272884	6.5224131088	134.7202705360	22.7825018605	165.8673707866	1010.6091839631	11.8215820273	15.9827407113	15.6004618065	31.9238404469	0	58.4269135821	292.6173289794	14.3007074805	11.0206396507	29.3081056705	1.9294222614	0	3.1228531493	10.7011360878	17.4266243262	2.7941194241	9.9975944834	23.3694124655	2.8655343024	12.9580930827	6.0842865206	65.9718373253	0	239.0241026655	1.7571344891	46.3543381671	33.8213527245	0	23.2148003160	0	0	0	0	39.1950980211	247.0019446869	9.4888751224	428.8264792920	587.5362428282	0	97.2390984397	0	27.7123427041	0	7.7329120685	0	661.5660508357	21.5196153873	8.1547534794	0	0	666.9513423543	27.3616272243	3.4327209274	0	538.8218589947
METSYN-PWY: L-homoserine and L-methionine biosynthesis	2200.1197359482	2256.2636016184	2394.5932941314	2013.0500143973	603.1165858004	2962.3618271741	2476.3066671011	1207.1176020678	888.0243125818	1739.6858978025	2643.3888086173	1900.9532402995	2859.3255255953	2931.7409657678	960.6600364869	467.6898458176	247.8822777333	3740.8500240823	2404.6971771046	988.5875754842	3994.8777711161	1370.5988007956	2658.1986426569	2402.7683926037	2346.9925637649	1381.2611975735	1103.5034185107	770.9338768525	1368.0324808723	1190.3806470928	918.1955600396	658.1596237904	1123.5628969832	2068.8011790038	1957.8312686032	817.6347763676	1858.7675665238	2576.4873088026	641.2566716025	1356.0529290641	2041.6060146585	1222.3322266454	1907.0135917933	541.6343305728	1673.5334787039	976.6042567459	752.2599596513	602.2304974465	2698.8295199393	352.8782581957	2398.5720968928	1885.3991558579	754.3112333639	1457.3846518085	243.4646480998	2678.5079787520	1083.2996668141	1557.8704269735	2483.9777081996	1472.1631012618	2747.4595942508	391.4972634747	1084.1371042655	1029.2523868775	1515.0402474041	480.3823734560	495.3185627676	1212.4575743638	1470.8023976409	954.6170203612	2323.1803089208	2569.8230587849	1355.5859362527	1907.9497598168	1543.6767024132	2323.5934368081	644.9086848796	2048.6586406986	985.0056924378	1911.1129479990	1204.3722217102	35.3100013657	1306.0060817331	191.2703777445	2604.2534549248	1819.5313208938	2320.5999027087	353.4693596439	2612.6304306140
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	206.9444804870	808.6108247861	727.8659049210	82.1667992596	35.3089165863	414.0112109391	790.0528306113	59.2288920248	209.9245750176	12.4998168163	473.1173999810	401.9339516654	677.6397827471	29.7122971691	5.7964482108	87.5342921455	122.6718893212	1826.4778539603	150.1284503553	206.9365666990	400.5785634393	109.3054821426	84.9864029530	317.3070498833	111.1485052375	469.6448558044	21.9654321794	30.8006122019	58.4163318715	383.3389677179	346.8321922791	51.7765325243	357.8384909940	2323.8424927863	51.5873081444	90.8630808454	78.5798784400	307.6321161328	2.0839580734	164.2842523796	827.5803093116	110.6837752444	89.0470261610	88.9664274226	54.8837911824	0	29.3660956658	81.4439914872	219.8809311397	52.1809707783	602.7482239598	67.2447491275	3.9261826078	65.4285925628	9.0550159905	1426.6278457006	50.1035759366	530.7505712040	13.6529312254	391.9021446691	315.8630619554	4.1403780949	45.7174195964	0	143.0492724658	0	10.8624098067	172.7862674414	828.9610825434	85.8218628178	1252.1390738850	1032.2334854525	151.5632084215	333.0434841129	27.5764766941	121.3711095200	92.2135847443	120.6733496772	16.3924282008	2265.8138989656	236.3524873437	40.1259345542	6.2778367028	10.4077748471	1442.8090341329	133.8632190744	91.4017050674	61.0874366191	2421.6539650458
NAGLIPASYN-PWY: lipid IVA biosynthesis	179.4691800634	917.9520771929	823.5477644335	156.5734864399	295.1076630449	617.6763019182	302.6985204472	44.8636402405	327.9920401575	7.7994959642	587.3509325148	929.2682069066	935.5542046500	112.9931818198	286.8337826367	180.7358475402	208.9888636422	2719.2478598582	210.1044584045	587.8637731631	346.3700779117	209.4280742184	409.9625190217	348.0670898689	295.0602935085	525.4825241833	459.2502963306	19.8334778347	67.3816009049	50.4953738464	762.2260894749	152.6299878056	540.0056056346	2377.8926912795	976.5112971328	544.5568307731	121.7304752630	666.9338327716	131.2755370490	452.6972697702	1448.9570127167	125.2841240651	103.2735463058	104.0281479550	122.1780997810	4.3395511587	53.7230457135	123.7333676531	123.6789999054	29.9273565741	65.1304085526	30.0156387780	21.4690360840	574.3979308390	465.4831340726	769.2915320736	40.0344597976	1389.3819270292	33.9778761022	237.5651210022	357.6303463030	8.9813004025	61.0064880688	7.7591378693	827.6940426519	0	135.8880926264	298.1994317496	944.7685098464	176.0177434816	1552.6287453501	1303.1835965843	414.4733304767	962.2945228996	251.5556357786	189.7865283118	197.2367659042	302.1171266046	195.3200313250	2972.4557763970	181.5472719793	807.7210398148	23.8093847100	84.7635234359	1716.5496543839	591.8611384479	431.7626879619	619.6109355079	2398.4350669761
NONMEVIPP-PWY: methylerythritol phosphate pathway I	6353.5364934339	7531.1053147342	10037.8442101584	9235.1948268748	8147.3116581520	10092.5019695904	5672.3024567144	6668.4159220457	8762.6361669927	8051.0922643691	7261.4669362153	6814.8082241011	6785.3697707952	7717.0738080900	9837.6424388112	8207.8044619985	7222.8692808965	11031.3477717932	5785.0466729902	7411.5600213761	7697.2185729135	5563.0182521816	10538.9190290792	6785.4480308014	7697.2481738984	7919.2740709805	9723.5459135577	8735.6268161573	8267.7707022264	5621.8291675166	8361.0926987415	7831.1258558539	9288.9043798805	7690.2354099198	11017.1035892687	10630.5628204782	5489.3674911436	8036.4829537566	6853.7087558466	8581.9608589473	8297.9508171504	6082.9040580344	6504.6213696512	7234.5506458070	8842.8356267210	6971.4488452291	10662.6394483838	5531.8873277605	8426.6733289547	7348.3561424023	5476.9691682264	7596.4346441762	7887.4386121829	7774.5472597077	7170.4161362364	4234.0913979509	8187.8894170261	5820.0425269984	6985.1405634662	6936.1268214963	8386.8260070947	7493.3342327124	7015.0106508065	4533.0754944018	8791.9742395882	8590.7177178344	7579.1667291211	8001.2802451159	5200.0284922664	10096.0188067454	7264.6904335476	5490.1547781952	7144.0851875506	8307.5887271873	4967.0186156831	9860.7597686850	5624.9206396693	8341.6174321160	9003.1649327488	7294.6958339184	7152.2326485731	9859.3258854169	6740.3192877895	9215.2318009409	8485.7958006428	12826.5995872463	5999.1549574521	8582.0028128193	6471.1439003809
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	6905.4335248083	5439.8544745276	4492.2012421365	4956.9997345768	4270.8856220227	5852.4266590444	4665.0745669960	4795.6603400686	1486.1741667870	4555.3837944890	4541.9815412139	5264.4691115878	6588.7059979911	6402.4940903960	4356.1232467391	2476.7453309119	4273.8815374327	5930.9802468500	4004.2291028023	6200.0467749491	5646.6374439453	4685.2012707678	3996.7492395831	3814.0340534675	4953.5649242052	2557.1280211935	8425.0798767469	2260.3426219336	5123.8139808393	2193.8607436661	4795.6340865586	5192.5432018241	4127.0832227214	3955.2562008824	3591.7874892906	5854.9900549846	2653.8132567113	6284.0708940329	1907.9165369833	2223.8166911125	6037.2210527350	3386.9059369476	4957.3023492355	3141.4995569406	3137.2566079825	1244.0251826019	3447.4866235886	1300.0449452690	4505.2836085228	1309.9598439557	4412.2508510311	4020.8434768526	3251.9600704005	2292.0696511975	1610.4486025733	3012.8680698928	4750.6888811118	2874.4439954046	5029.2338073080	2301.1320559469	3475.6053646247	2523.9843519991	3106.4627196062	1963.8284621266	3782.4934070140	3988.9372390307	3103.3799909237	3825.3539515930	2321.6405001242	3486.7365877549	4773.6303805735	3632.2345712636	5498.7274189765	3827.0919136509	3165.8219739100	6504.4286575231	1056.7981040249	5591.1688374296	1566.7142298986	3153.7756745961	2845.0901767259	2691.8420323414	4519.3836456351	3341.7538270995	2458.3155630754	5594.2488477121	3363.2477958719	4768.5161591256	3304.3404936814
